     N           id         time
  7797     16.07969      7.33515
  3898     18.50366      2.16837
  3898     18.36299      2.18605
  1949     19.00371      0.83393
  1949     18.76343      0.83075
  1949     19.16699      0.81388
  1949     18.83672      0.81673
   974     17.65635      0.36458
   974     18.31992      0.36248
   974     18.00000      0.36010
   974     17.47397      0.35930
   974     17.91299      0.36011
   974     17.39429      0.35971
   974     17.64844      0.35961
   974     17.69678      0.35979
   487     16.08594      0.21161
   487     15.66719      0.21078
   487     15.40942      0.21231
   487     15.09668      0.21287
   487     15.83828      0.21220
   487     16.06328      0.21207
   487     15.97812      0.21221
   487     15.30396      0.21153
   487     14.88428      0.21441
   487     16.02891      0.21280
   487     15.41016      0.21392
   487     15.75000      0.21416
   487     16.02109      0.21500
   487     15.24976      0.21263
   487     15.12451      0.21193
   487     15.77422      0.21151
   243     13.26914      0.11218
   243     13.34849      0.12323
   243     13.94805      0.12176
   243     13.50645      0.12041
   243     12.60391      0.12103
   243     13.40879      0.11997
   243     13.18916      0.11998
   243     13.53721      0.12216
   243     13.34087      0.14591
   243     14.23721      0.15137
   243     12.86606      0.12245
   243     13.16885      0.11807
   243     12.73594      0.12212
   243     13.35610      0.12170
   243     13.33071      0.12315
   243     12.88130      0.12167
   243     13.27422      0.12052
   243     13.98291      0.12124
   243     12.25195      0.12182
   243     12.91050      0.12233
   243     13.44561      0.12240
   243     11.97891      0.12154
   243     14.23311      0.12011
   243     12.10313      0.12022
   243     13.13647      0.12106
   243     14.18047      0.12252
   243     13.38149      0.12186
   243     13.55498      0.12111
   243     13.92617      0.12072
   243     12.92065      0.12186
   243     13.29707      0.12121
   243     13.37896      0.12038
