     N           id         time
   698      3.67017      0.57453
   349      3.94775      0.34788
   349      4.02070      0.34030
   174      4.34316      0.16427
   174      4.22344      0.16871
   174      4.18477      0.16744
   174      4.30547      0.16735
    87      4.32266      0.08897
    87      4.85791      0.08894
    87      4.48535      0.08829
    87      4.74805      0.08784
    87      6.36035      0.18772
    87      4.76562      0.08555
    87      4.60107      0.08798
    87      4.36250      0.08724
    43      4.23984      0.05292
    43      4.30938      0.05206
    43      4.77832      0.05245
    43      3.83906      0.05130
    43      3.99375      0.05153
    43      4.13125      0.05116
    43      4.29688      0.05202
    43      4.83203      0.05283
    43      4.96875      0.05240
    43      4.76855      0.05225
    43      4.98828      0.05275
    43      4.33359      0.05224
    43      4.82227      0.05272
    43      4.20781      0.05208
    43      4.05859      0.05136
    43      6.47930      0.12635
    21      4.89746      0.03727
    21      4.91309      0.03680
    21      4.29766      0.03595
    21      3.79062      0.03587
    21      3.98516      0.03627
    21      4.96484      0.03646
    21      4.28125      0.03588
    21      4.78223      0.03625
    21      3.89297      0.03601
    21      7.69453      0.06931
    21      4.84180      0.03641
    21      4.54199      0.03657
    21      4.95605      0.03650
    21      4.91602      0.03612
    21      4.80371      0.03595
    21      4.56250      0.03625
    21      7.58750      0.06831
    21      7.20303      0.06887
    21      6.79629      0.06927
    21      4.12969      0.03627
    21      3.36738      0.03559
    21      4.40156      0.03624
    21      4.94922      0.03639
    21      3.80312      0.03576
    21      4.18047      0.03627
    21      3.85391      0.03540
    21      3.78437      0.03543
    21      4.08359      0.03740
    21      4.63086      0.03783
    21      6.60625      0.06888
    21      4.37344      0.03655
    21      4.25391      0.03619
