     N           id         time
  6742     13.53652      7.31452
  3371     12.20977      2.19357
  3371     12.14824      2.17665
  1685     11.44688      0.87020
  1685     11.13589      0.86804
  1685     11.33140      0.84987
  1685     11.47964      0.86082
   842     10.91030      0.43812
   842     10.39551      0.40787
   842     10.37598      0.39015
   842     10.42383      0.39042
   842     10.79858      0.38506
   842     10.60630      0.39777
   842     10.48145      0.38704
   842     10.54829      0.42655
   421      9.86133      0.25326
   421      9.21885      0.23340
   421      9.96191      0.23124
   421      9.81738      0.23447
   421      9.76367      0.23661
   421      9.62988      0.22823
   421      9.78906      0.22647
   421      9.75098      0.29103
   421      9.99512      0.23097
   421      9.85254      0.23050
   421     10.05762      0.22564
   421      9.79102      0.22914
   421      9.88867      0.22611
   421      9.77637      0.28529
   421      9.53027      0.22814
   421     10.06152      0.22931
   210      9.52734      0.13238
   210      9.08525      0.12855
   210      9.39814      0.12920
   210      9.54492      0.12904
   210     10.24219      0.12753
   210      8.96748      0.12803
   210      8.76885      0.13078
   210      8.88223      0.12843
   210      9.10195      0.12942
   210      9.61133      0.12852
   210      9.37002      0.12985
   210      9.57910      0.12809
   210      9.54102      0.12812
   210      8.53154      0.13447
   210      9.47549      0.12742
   210      8.87695      0.12805
   210      9.30674      0.12943
   210      9.22236      0.12923
   210      9.51465      0.12954
   210      9.43418      0.13190
   210      8.87607      0.12923
   210      9.47109      0.13074
   210      9.33398      0.13091
   210      9.43242      0.12904
   210      9.87207      0.13035
   210      8.81719      0.13142
   210      9.49316      0.12742
   210      9.82910      0.12934
   210      9.29883      0.13012
   210      9.06855      0.13006
   210      9.59863      0.13015
   210      8.99736      0.12970
