"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...1",698,7.49056980925192,25.0243592262268,7.40375277932021,49.8366389274597
"...2",698,7.61228517423888,25.218199968338,7.5477275252328,50.3326101303101
"...3",698,7.8586440311841,25.3095271587372,7.49238202624854,50.0219759941101
"...4",698,7.6331674874824,25.2773699760437,7.39038432691745,50.0979750156403
"...5",698,7.41476250133675,25.2150530815125,7.16779903045752,50.2518711090088
"...6",698,7.44621616298597,25.3069171905518,7.38286762474203,50.0039870738983
"...7",698,7.65016628213966,25.164174079895,7.27614677807231,50.2438118457794
"...8",698,7.45552392714431,25.356537103653,7.6646048504564,49.9478349685669
"...9",698,7.57660352591646,22.5522429943085,7.49661864783007,52.8228869438171
"...10",698,7.53441463685551,25.191684961319,7.63652622222283,50.20978307724
"...11",698,7.64644334282277,29.5054888725281,7.1539094059976,26.2565178871155
"...12",698,7.4889120024313,27.7768471240997,7.29582128042904,25.1076891422272
"...13",698,7.63028755433967,26.8075609207153,7.22837001146792,23.5181410312653
"...14",698,7.63165507734238,27.3558449745178,7.40772864284604,26.2351112365723
"...15",698,7.26480085898013,27.9279398918152,7.36278881852377,28.6952040195465
"...16",698,7.46918109258861,26.936537027359,7.31538925629513,28.3231029510498
"...17",698,7.66601535980962,27.0633080005646,7.47461853218422,28.5671548843384
"...18",698,7.72924789788002,27.8515570163727,7.44335357580491,28.0283620357513
"...19",698,7.66680079240191,27.4384031295776,7.53982876623816,25.5287280082703
"...20",698,7.42025196717124,30.3576459884644,7.39699319296105,26.6458239555359
"...21",698,7.49228721344695,20.3293879032135,7.3919837004182,32.8655891418457
"...22",698,7.45256557525781,19.0781290531158,7.38565943255373,32.1743769645691
"...23",698,7.47755342179827,18.2220818996429,7.58019929141227,32.3306908607483
"...24",698,7.38081706147535,19.5449488162994,7.631134392854,31.8368089199066
"...25",698,7.39867825765121,20.2789740562439,7.34072562309412,34.8458919525146
"...26",698,7.35256165302134,20.1266360282898,7.39276833246408,35.6037559509277
"...27",698,7.50155635476579,20.1893839836121,7.56435504862048,35.4322710037231
"...28",698,7.4305911155223,19.9949958324432,7.67774804137019,32.6570210456848
"...29",698,7.43608351093301,18.5177710056305,7.34114405695783,30.9759790897369
"...30",698,7.52541013408112,19.9594929218292,7.38801113094461,35.5328290462494
"...31",698,7.56025087010076,23.6235220432281,7.574129385419,50.5434439182281
"...32",698,7.4354909891083,23.6131110191345,7.4470637009954,46.7302041053772
"...33",698,7.50841662400707,23.340931892395,7.42565147364562,47.2907309532166
"...34",698,7.30142288589909,23.5502738952637,7.48075480608008,47.3519840240479
"...35",698,7.57345702809067,23.5960559844971,7.55594319169844,50.7212598323822
"...36",698,7.80768656826829,23.4635071754456,7.27074424840279,33.5802681446075
"...37",698,7.64534691565902,23.5755620002747,7.31214042289435,34.0811440944672
"...38",698,7.73902734476083,21.171196937561,7.23636048926627,50.4807679653168
"...39",698,7.47868915260782,22.9169340133667,7.40582381468062,48.6661951541901
"...40",698,7.62266874346827,23.3279449939728,7.40721046566795,47.1003580093384
"...41",698,7.49855708443012,29.7880110740662,7.4518466665384,25.9354040622711
"...42",698,7.408659732389,26.1973719596863,7.48825124226718,29.2092571258545
"...43",698,7.45333796220891,24.7221801280975,7.38138766464758,30.0158469676971
"...44",698,7.44384165651027,27.2912750244141,7.42050287773428,28.6657900810242
"...45",698,7.6301981451783,29.4721670150757,7.34745575698524,26.6638820171356
"...46",698,7.61669182004514,23.3629200458527,7.38288786266297,30.4279179573059
"...47",698,7.6819590113157,24.3529269695282,7.41501529375847,29.8493101596832
"...48",698,7.55449281698885,26.1155829429626,7.57101948839371,29.460352897644
"...49",698,7.78353786152358,27.0072770118713,7.34662293209078,28.8834900856018
"...50",698,7.44654645556474,26.9484498500824,7.4548096168531,28.9926879405975
"...1",349,7.3310816956146,23.5026381015778,7.61900606306905,25.8284709453583
"...2",349,7.15354279941196,23.5734949111938,7.10484544595073,28.7249310016632
"...3",349,7.34712996263658,23.7241611480713,7.36296573173772,27.0154747962952
"...4",349,7.48600773204277,24.4422700405121,7.11144177774167,24.872887134552
"...5",349,7.56014421100367,23.4925479888916,7.36450994102617,26.6394579410553
"...6",349,7.44912949113828,24.3927900791168,7.50901620165143,24.4321608543396
"...7",349,7.70876373529147,23.42982006073,7.56308515499825,28.5786328315735
"...8",349,7.16302659863968,24.2563679218292,7.04728130438743,26.9403219223022
"...9",349,7.92212941407509,23.2643909454346,7.4726525792003,27.4161999225616
"...10",349,7.75875282679803,23.7075819969177,7.54904198434108,26.2944350242615
"...11",349,7.52653212199449,27.6988949775696,7.43754022196266,30.3883838653564
"...12",349,7.4929545873535,27.8412799835205,7.46172861291244,30.4497709274292
"...13",349,7.39598106639233,27.4733011722565,7.37586874589597,30.4953808784485
"...14",349,7.40314142865637,27.2058300971985,7.37511979745765,30.4706070423126
"...15",349,7.5585862856135,27.7184028625488,7.59520217855034,29.9970510005951
"...16",349,7.00020074095758,27.6334719657898,7.37216993940914,30.5581479072571
"...17",349,7.42242215449637,27.672749042511,7.46191486519713,30.5777609348297
"...18",349,7.59026238540587,27.6327118873596,7.505550656394,30.5537478923798
"...19",349,7.43468849874339,27.6228218078613,7.3986391913787,30.6008489131927
"...20",349,7.40045271225409,27.6915800571442,7.52574142966942,30.7369079589844
"...21",349,7.52580293431178,23.7443909645081,7.27400157409566,29.5323841571808
"...22",349,7.24538045795792,24.2084460258484,7.3842108307929,29.1176857948303
"...23",349,7.37751376083456,24.0940170288086,7.56461210952438,30.8624119758606
"...24",349,7.64729167847077,24.3386008739471,7.50681341012261,30.0687670707703
"...25",349,7.47500300458313,24.1148991584778,7.20181657743745,31.2753009796143
"...26",349,7.26457718232726,24.1593179702759,7.13677242047223,29.9334080219269
"...27",349,7.64935247326985,24.2639188766479,7.06859011987072,30.7250239849091
"...28",349,7.67378416930438,24.2540001869202,7.47432787273724,30.112165927887
"...29",349,7.81922589966458,24.1470110416412,7.74126945059624,30.3312940597534
"...30",349,7.38750372211116,24.6162848472595,7.35486484622447,29.4162349700928
