"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...1",7797,12.5042134609227,21.6972091197968,12.4417260274579,21.2102088928223
"...2",7797,12.534929463187,21.2644739151001,11.874878878907,25.3329470157623
"...3",7797,13.0009936780046,21.2058579921722,12.2232499052897,21.9093658924103
"...4",7797,12.5921794701605,21.0620608329773,11.9740249263766,22.5062758922577
"...5",7797,12.7548639062762,21.8246939182281,12.2165984193261,25.0351631641388
"...6",7797,12.7556933029041,25.9194889068604,12.3187235077163,22.913516998291
"...7",7797,13.161473792456,11.5158720016479,12.0598178771149,21.4720590114594
"...8",7797,12.5530592312417,14.6801810264587,11.6598652980583,18.5944011211395
"...9",7797,12.5245915775247,20.9519898891449,12.2626096297624,23.0074069499969
"...10",7797,12.211441899322,21.6889200210571,12.2901594858818,25.6680409908295
"...11",7797,12.5293612788613,26.4782841205597,12.2321222990596,23.2461791038513
"...12",7797,12.695894230933,26.3171849250793,12.3727344165098,23.5211689472198
"...13",7797,12.4446226640557,25.6889622211456,12.6737608316392,23.5226440429688
"...14",7797,12.8710967044649,26.1114819049835,12.7024020333349,23.231605052948
"...15",7797,12.6521687592164,30.4775249958038,12.6398551579203,19.755884885788
"...16",7797,12.5889961000204,29.5694558620453,12.4844554786544,20.7965641021729
"...17",7797,12.8310138919712,8.33975291252136,12.2506334107846,8.84689402580261
"...18",7797,12.5206981450338,9.73939800262451,12.3982238381388,17.5588018894196
"...19",7797,12.7486149664357,25.3282070159912,12.0584027318316,25.6483559608459
"...20",7797,12.7462109282593,17.239846944809,12.3633908492521,22.9610350131989
"...21",7797,12.5471347680778,21.4425799846649,12.5335043947782,27.7809450626373
"...22",7797,12.6411772873423,21.8670420646667,12.0538361672819,29.1268939971924
"...23",7797,12.7085344093024,21.7026839256287,12.1097241864398,25.5467000007629
"...24",7797,12.8340881391461,21.7184619903564,11.8579816196895,26.6853868961334
"...25",7797,12.5840675115205,15.8248901367188,12.4276205670534,22.0876519680023
"...26",7797,12.6903394137747,22.4600319862366,12.4861637132761,24.239578962326
"...27",7797,12.8087646464308,7.89559984207153,12.3901921749798,7.13834404945374
"...28",7797,12.4240611831652,9.19741582870483,12.0932429414541,8.10113000869751
"...29",7797,12.8315959510007,22.5879199504852,12.3454148555815,25.9042360782623
"...30",7797,12.386687662219,9.79410004615784,12.2422252579733,9.3013858795166
"...31",7797,12.9526472513718,20.7555499076843,12.4174476634465,17.8562560081482
