"","sample_size","ESSa","ESSa_seconds","ESSb","ESSb_seconds"
"...1",6742,6.55789967623994,9.08882880210876,5.96493827375538,9.6304759979248
"...2",6742,6.65929953446097,12.2546620368958,6.05406859742997,7.6039719581604
"...3",6742,6.77097139348421,12.1257839202881,6.05748917766903,9.41650390625
"...4",6742,6.65357366473944,11.2078621387482,5.80029904131981,8.75631499290466
"...5",6742,6.68548191566296,11.46040391922,5.95800360110295,9.33746194839478
"...6",6742,6.58188685768914,11.4203729629517,5.9624619038239,9.39145803451538
"...7",6742,6.6289314301133,12.2330319881439,5.93908553067778,9.32789492607117
"...8",6742,6.52744862424073,12.5181849002838,5.85869471324232,9.09909987449646
"...9",6742,6.43869015664682,4.74563598632812,5.86581615845078,8.44127106666565
"...10",6742,6.51955002982298,6.59125995635986,6.09256023114549,7.59377598762512
"...11",6742,6.55760120213279,9.01473093032837,6.1736350909583,10.518923997879
"...12",6742,6.58056897901331,7.03610301017761,6.08484399405808,7.19339680671692
"...13",6742,6.58431978512662,8.9919171333313,6.0240099798493,10.2137660980225
"...14",6742,6.66678997336037,8.75385713577271,6.22124415443444,10.5968060493469
"...15",6742,6.58318379134895,7.8477737903595,5.93513318075932,10.5356991291046
"...16",6742,6.61114686373727,9.24619197845459,6.21942030414273,10.0348229408264
"...17",6742,6.58863096288226,4.46039795875549,6.07335263566079,5.06721186637878
"...18",6742,6.53516312438034,5.77868700027466,5.81350776721087,11.66042304039
"...19",6742,6.56556130759081,8.22254085540771,5.98215757497201,8.65951418876648
"...20",6742,6.53607909024957,5.91282415390015,6.06434618903473,11.7089140415192
"...21",6742,6.58136588094195,8.09747195243835,5.93746692037013,9.49186396598816
"...22",6742,6.56244497377096,7.23869013786316,6.09626991302936,9.38054299354553
"...23",6742,6.52824913063692,8.35370302200317,5.9597585799896,9.37654495239258
"...24",6742,6.57546180150517,7.93641400337219,6.0222484633066,10.3919248580933
"...25",6742,6.66576948029105,4.34170603752136,6.11098452707655,4.37087297439575
"...26",6742,6.60269323866986,5.06001710891724,6.12673790612653,9.25719809532166
"...27",6742,6.41272935024821,9.05636596679688,6.11601546721962,5.92738699913025
"...28",6742,6.47147665227132,5.08287906646729,5.98713441857482,9.1535120010376
"...29",6742,6.57124199847542,8.8055591583252,5.94549697027675,6.00454115867615
"...30",6742,6.60217921563776,8.79352903366089,6.04526227776894,5.97751688957214
"...31",6742,6.76817585692147,8.49580979347229,5.96353645722428,6.36017799377441
"...32",6742,6.64869569882366,9.49564504623413,5.92747922500683,5.87169599533081
"...33",6742,6.47746368148425,5.31904101371765,6.03297154080359,5.8133819103241
"...34",6742,6.46387706531371,6.49124717712402,5.85552894313572,11.7255489826202
"...35",6742,6.54801201236383,9.67508316040039,5.9708692495523,10.3361749649048
"...36",6742,6.4152370841779,6.22672986984253,6.03425689700033,12.9675269126892
"...37",6742,6.59126985795786,10.5688121318817,6.01363458254322,10.128448009491
"...38",6742,6.65654595164778,10.1182689666748,6.06011305878113,11.2523849010468
"...39",6742,6.50101715693024,9.9424421787262,6.00754452497192,10.1298060417175
"...40",6742,6.67412502033125,10.5218250751495,6.02043689317518,11.0846989154816
"...41",6742,6.60497403802442,5.4269118309021,5.9222486126714,5.0396249294281
"...42",6742,6.61345208600804,6.04359912872314,6.11764903688202,7.45087504386902
"...43",6742,6.54385741146184,10.9515991210938,5.99133104013657,5.72695708274841
"...44",6742,6.49326527138282,5.85666608810425,6.05512040621956,11.3551650047302
"...45",6742,6.6031217414328,10.8407719135284,6.01230201641841,5.87970590591431
"...46",6742,6.43347562406798,10.1926219463348,5.99871035480935,5.5897171497345
"...47",6742,6.58192126880323,7.41345381736755,5.98441455624906,9.47805905342102
"...48",6742,6.6440283494693,10.1581468582153,5.99740667602527,5.59662890434265
"...49",6742,6.47397793876554,3.99079012870789,6.23764033371362,3.29951500892639
"...50",6742,6.66883430422265,3.5408411026001,6.03019859065265,3.26388001441956
"...1",3371,6.58625814745183,4.13749217987061,5.84926644754836,3.06360411643982
"...2",3371,6.54180093271763,4.11478900909424,6.02692180966004,2.95762014389038
"...3",3371,6.53583327147274,4.1522798538208,5.85790680555478,2.94500613212585
"...4",3371,6.53465274928254,4.0875141620636,5.92803968245832,2.93738913536072
"...5",3371,6.60744356910411,4.11457586288452,5.97418721973217,3.02027082443237
"...6",3371,6.52740752859081,4.11827611923218,5.96560339914231,2.99658894538879
"...7",3371,6.66736301548289,4.13751912117004,5.96582084717715,2.91647100448608
"...8",3371,6.73066731142936,4.1730329990387,6.00671914550537,3.0531759262085
"...9",3371,6.54811373705721,1.85439300537109,5.80125832601962,2.43268895149231
"...10",3371,6.64842691306046,1.78777098655701,5.79932161276342,2.81784605979919
"...11",3371,6.70522752494154,2.00310897827148,6.15752983256197,2.40363502502441
