P      id           time        
48   30.535  0.0   21.749723434448242
75   23.013  0.0   21.2919659614563
192   85.903  0.0   22.30442523956299
363   115.667  0.0   23.80196452140808
768   139.516  0.0   27.543986320495605
1452   102.663  0.0   33.99473690986633
3072   104.185  0.0   49.576502323150635
6075   46.663  0.0   77.91404461860657
12288   69.121  0.0   136.4847867488861
24300   64.732  0.0   250.33976221084595
49152   64.733  0.0   486.3073778152466
98283   87.663  0.0   945.1889855861664
