N      id           time        
7797   12.739 0.2   384.14252495765686
3898   22.000 0.2   143.4216673374176
3898   21.731 0.2   142.202534198761
1949   25.685 0.3   58.67931294441223
1949   24.889 0.3   58.08146905899048
1949   24.531 0.3   58.949427366256714
1949   24.749 0.3   60.40167188644409
974   23.481 0.5   26.508113622665405
974   24.760 0.5   26.817285299301147
974   23.851 0.4   26.822503089904785
974   24.720 0.5   26.51730442047119
974   23.125 0.4   26.447190046310425
974   26.080 0.6   26.903466939926147
974   22.941 0.4   26.876230239868164
974   24.913 0.3   26.580151081085205
487   26.479 0.6   12.495842695236206
487   26.024 0.5   12.447070360183716
487   23.865 0.5   12.47102403640747
487   24.961 0.5   12.45639419555664
487   27.064 0.4   12.451463460922241
487   26.262 0.4   12.45108151435852
487   23.943 0.6   12.45475459098816
487   26.791 0.4   12.520159721374512
487   25.064 0.4   12.444257020950317
487   26.645 0.6   12.452353239059448
487   22.962 0.4   12.480658769607544
487   24.101 0.4   12.482479572296143
487   24.700 0.6   12.421810388565063
487   24.010 0.5   12.44526982307434
487   22.867 0.7   12.841757774353027
487   25.834 0.6   12.436029195785522
243   26.617 0.8   6.16029167175293
243   23.744 0.8   6.114492416381836
243   20.667 0.6   6.119619607925415
243   25.252 0.9   6.131430387496948
243   22.138 0.5   6.132766485214233
243   23.706 0.5   6.127584457397461
243   25.908 0.8   6.127210855484009
243   25.857 0.9   6.127390384674072
243   27.798 1.0   6.123914003372192
243   26.333 1.3   6.1258628368377686
243   19.783 1.0   6.1368348598480225
243   28.314 0.9   6.136133670806885
243   18.497 0.7   6.137803554534912
243   20.763 1.0   6.128503322601318
243   20.692 1.0   6.136561870574951
243   24.208 0.9   6.12421989440918
243   23.117 0.7   6.127393484115601
243   24.940 0.9   6.205506324768066
243   20.530 0.9   6.125252723693848
243   20.175 0.8   6.1234142780303955
243   23.879 1.2   6.114195346832275
243   27.758 0.8   6.283436059951782
243   23.254 0.7   6.124524116516113
243   26.197 0.9   6.115286111831665
243   21.221 0.8   6.119074583053589
243   22.216 1.2   6.164361000061035
243   23.943 0.5   6.150496959686279
243   24.171 0.3   6.121190309524536
243   22.560 0.9   6.114180326461792
243   21.617 1.0   6.121465682983398
243   26.036 1.1   6.113438367843628
243   21.231 0.7   6.137485027313232
