N      id           time        
698   5.220  0.2   25.792969226837158
698   5.177  0.2   25.185115098953247
698   5.034  0.2   25.05219054222107
698   5.207  0.1   25.301105737686157
349   5.335  0.2   11.245764255523682
349   5.439  0.4   11.493053674697876
349   5.615  0.3   11.48587679862976
349   4.319  0.3   11.32162857055664
349   3.753  0.2   11.33541226387024
349   5.205  0.4   11.60010552406311
349   5.675  0.5   11.46242356300354
349   4.302  0.3   11.38275933265686
174   2.186  0.7   5.6000285148620605
174   0.554  0.6   5.511592864990234
174   2.824  0.6   5.667628288269043
174   3.041  0.9   5.54465651512146
174   4.276  0.7   5.479047536849976
174   2.516  0.5   5.441907167434692
174   2.641  0.6   5.432957887649536
174   2.144  0.6   5.6313676834106445
174   5.103  0.6   5.587942361831665
174   3.887  0.8   5.548070669174194
174   1.194  0.5   5.539047956466675
174   4.915  0.5   5.475877523422241
174   3.975  0.4   5.576481342315674
174   1.242  0.7   5.463241815567017
174   3.687  0.8   5.536683559417725
174   4.621  0.8   5.571940183639526
87   4.447  1.3   2.740128755569458
87   7.674  1.0   2.7334277629852295
87   3.769  1.2   2.7481184005737305
87   8.317  1.2   2.766249179840088
87   1.027  0.8   2.7040774822235107
87   4.591  0.7   2.7032649517059326
87   2.413  1.3   2.7174601554870605
87   4.144  0.7   2.7115681171417236
87   0.267  0.6   2.6986443996429443
87   3.750  0.8   2.70745587348938
87   6.272  1.3   2.7560408115386963
87   6.319  1.0   2.7491984367370605
87   0.543  0.7   2.735994577407837
87   1.063  1.0   2.7347652912139893
87   8.323  1.1   2.767916202545166
87   9.280  1.5   2.737624406814575
87   2.468  1.5   2.729311943054199
87   5.560  0.6   2.7407467365264893
87   10.033  0.6   2.727550745010376
87   1.500  0.9   2.7081215381622314
87   0.021  0.1   2.7019808292388916
87   1.689  1.4   2.700969934463501
87   6.897  1.6   2.7067689895629883
87   5.723  0.9   2.710012674331665
87   0.209  0.4   2.741502046585083
87   9.089  1.1   2.7406668663024902
87   12.247  1.3   2.766148567199707
87   4.877  1.5   2.7460777759552
87   1.977  1.6   2.7377874851226807
87   4.405  1.0   2.7448487281799316
87   1.414  0.8   2.7624611854553223
87   3.004  0.8   2.7360517978668213
43   8.766  1.5   1.4394183158874512
43   8.685  1.1   1.432704210281372
43   3.133  1.5   1.4274132251739502
43   8.050  2.1   1.428332805633545
43   5.091  1.2   1.4393794536590576
43   2.441  2.3   1.426267385482788
43   8.145  1.4   1.4263908863067627
43   0.000  0.0   1.4290034770965576
43   9.113  2.3   1.4279370307922363
43   8.977  1.6   1.4266228675842285
43   7.269  1.1   1.4275670051574707
43   6.658  1.6   1.4538710117340088
43   17.400  2.3   1.4499413967132568
43   7.801  1.4   1.4540016651153564
43   10.534  1.7   1.4572629928588867
43   10.452  1.0   1.4468894004821777
43   2.951  1.3   1.4536993503570557
43   6.010  1.6   1.452030897140503
43   5.682  1.8   1.4518697261810303
43   14.247  2.5   1.4778733253479004
43   5.656  2.7   1.4634783267974854
43   6.220  2.9   1.4548742771148682
43   4.747  2.1   1.448716402053833
43   8.584  0.8   1.449153184890747
43   11.791  2.1   1.4532082080841064
43   2.458  2.8   1.4540371894836426
43   11.499  1.4   1.469677448272705
43   10.692  2.2   1.4398736953735352
43   11.537  1.9   1.4299159049987793
43   6.302  1.4   1.4281659126281738
43   7.352  1.2   1.4276416301727295
43   11.092  1.8   1.4271504878997803
43   10.032  1.3   1.427227258682251
43   9.749  1.6   1.4270639419555664
43   17.226  1.7   1.43389892578125
43   3.957  2.5   1.4278912544250488
43   4.070  1.4   1.4259207248687744
43   6.292  1.9   1.439086675643921
43   13.162  1.9   1.4540162086486816
43   0.000  0.0   1.4494025707244873
43   0.752  0.9   1.4532058238983154
43   15.956  1.8   1.4683372974395752
43   0.000  0.0   1.4512810707092285
43   9.860  2.8   1.447866678237915
43   4.764  1.7   1.4539861679077148
43   11.323  2.4   1.4538617134094238
43   9.042  1.2   1.452770709991455
43   0.903  0.8   1.4478399753570557
43   2.367  2.6   1.4642817974090576
43   12.968  0.8   1.4722695350646973
43   8.356  1.2   1.4503004550933838
43   1.194  1.9   1.4478850364685059
43   0.015  0.0   1.457193374633789
43   9.815  1.4   1.4415309429168701
43   0.941  1.2   1.431225061416626
43   4.340  1.3   1.4273030757904053
43   9.044  1.7   1.438349962234497
43   6.783  2.1   1.429753303527832
43   8.856  1.2   1.4281916618347168
43   12.845  1.0   1.4258873462677002
43   14.418  1.4   1.4304604530334473
43   3.629  1.1   1.428570032119751
43   7.405  0.8   1.4275414943695068
43   4.995  1.9   1.4373383522033691
