N      id           time        
6742   7.544 0.1   327.34237265586853
3371   6.772 0.1   122.44669198989868
3371   6.777 0.1   126.96151971817017
1685   6.054 0.1   50.62278151512146
1685   5.636 0.2   51.01615858078003
1685   6.177 0.1   50.65944719314575
1685   6.273 0.1   50.75766181945801
842   7.696 0.2   22.85884690284729
842   6.597 0.2   23.086620330810547
842   6.586 0.2   22.900920391082764
842   4.925 0.2   22.94791007041931
842   7.470 0.6   22.851248025894165
842   6.357 0.3   22.84972357749939
842   6.556 0.2   22.827653169631958
842   6.065 0.3   22.76757550239563
421   6.330 0.2   11.05361032485962
421   4.414 0.5   11.22788119316101
421   6.235 0.3   10.980623483657837
421   6.176 0.4   11.064744234085083
421   5.325 0.5   11.119659423828125
421   6.020 0.1   11.247699737548828
421   6.413 0.2   11.140921354293823
421   6.102 0.5   11.123167037963867
421   6.169 0.3   11.17246127128601
421   6.300 0.3   10.978029727935791
421   7.301 0.4   10.922683477401733
421   7.751 0.3   10.899953603744507
421   3.762 0.8   10.931265830993652
421   7.084 0.2   10.887983560562134
421   7.185 0.4   11.046990394592285
421   7.513 0.3   10.883105754852295
210   7.430 0.4   5.379518270492554
210   6.511 0.3   5.41488790512085
210   6.092 0.3   5.480649709701538
210   6.392 0.3   5.447502613067627
210   6.458 0.3   5.427765846252441
210   5.624 0.3   5.438475608825684
210   7.141 0.4   5.434686183929443
210   7.301 0.9   5.434786558151245
210   7.218 0.2   5.447585105895996
210   6.540 0.2   5.550386667251587
210   8.005 0.4   5.392184495925903
210   7.346 0.6   5.374597549438477
210   6.677 0.5   5.386201858520508
210   5.574 0.3   5.394846677780151
210   7.726 0.2   5.397440195083618
210   6.256 0.4   5.393881320953369
210   5.786 0.5   5.373853445053101
210   7.088 0.3   5.556058883666992
210   7.501 0.4   5.807494878768921
210   5.292 0.2   5.385014772415161
210   5.435 0.3   5.389266014099121
210   9.516 0.3   5.375054597854614
210   7.496 0.3   5.358157634735107
210   6.121 0.2   5.37158989906311
210   6.607 0.3   5.374650478363037
210   10.704 0.4   5.353111267089844
210   5.164 0.8   5.37102746963501
210   6.313 0.6   5.370999813079834
210   8.726 0.6   5.461238145828247
210   7.704 0.4   5.474902153015137
210   8.309 0.4   5.399744272232056
210   7.792 0.4   5.365579128265381
